timestamp,SETTLEMENT_DATE,SETTLEMENT_PERIOD,ND,TSD,ENGLAND_WALES_DEMAND,EMBEDDED_WIND_GENERATION,EMBEDDED_WIND_CAPACITY,EMBEDDED_SOLAR_GENERATION,EMBEDDED_SOLAR_CAPACITY,NON_BM_STOR,PUMP_STORAGE_PUMPING,IFA_FLOW,IFA2_FLOW,BRITNED_FLOW,MOYLE_FLOW,EAST_WEST_FLOW,NEMO_FLOW,NSL_FLOW,ELECLINK_FLOW
2017-01-30 06:00:00,30-Jan-2017,18.50,41867.17,42849.42,38186.75,857.83,4781.00,400.75,11503.00,0.00,38.42,-250.17,0.00,358.92,7.67,81.25,0.00,,
2017-01-30 12:00:00,30-Jan-2017,30.50,44796.33,45665.67,41213.42,1484.83,4781.00,378.08,11503.00,0.00,7.33,-27.00,0.00,149.00,-18.83,238.92,0.00,,
2017-01-30 18:00:00,30-Jan-2017,42.50,39001.75,40216.17,35962.50,1870.42,4781.00,0.00,11503.00,0.00,16.58,-478.83,0.00,990.50,-90.33,240.75,0.00,,
2017-01-31 00:00:00,31-Jan-2017,6.50,26986.25,29591.25,25075.75,2251.75,4781.00,0.00,11503.00,0.00,1573.42,-431.58,0.00,842.33,128.75,446.67,0.00,,
2017-01-31 06:00:00,31-Jan-2017,18.50,40479.50,43235.00,37429.00,2454.42,4781.00,215.58,11503.00,0.00,38.58,-847.08,0.00,-921.58,-183.33,-105.42,0.00,,
2017-01-31 12:00:00,31-Jan-2017,30.50,44861.00,47682.58,41052.42,1722.00,4781.00,260.75,11503.00,0.00,8.75,-853.42,0.00,-803.00,-247.83,-308.58,0.00,,
2017-01-31 18:00:00,31-Jan-2017,42.50,40332.25,42189.58,36594.58,927.67,4781.00,0.00,11503.00,0.00,73.83,-590.67,0.00,645.67,-290.42,-302.25,0.00,,
2017-02-01 00:00:00,01-Feb-2017,6.50,28504.50,31233.75,25691.92,775.33,4781.00,0.00,11503.00,0.00,1816.17,28.17,0.00,989.92,242.75,274.58,0.00,,
2017-02-01 06:00:00,01-Feb-2017,18.50,40546.42,42005.08,36833.25,1131.00,4781.00,374.58,11503.00,40.17,44.17,-829.00,0.00,820.83,52.67,235.67,0.00,,
2017-02-01 12:00:00,01-Feb-2017,30.50,41950.08,43175.67,38456.17,1910.83,4781.00,755.17,11503.00,8.58,8.42,-118.08,0.00,619.00,-166.33,92.83,0.00,,
2017-02-01 18:00:00,01-Feb-2017,42.50,37363.58,38434.25,34423.33,2315.33,4781.00,0.00,11503.00,1.50,25.58,732.50,0.00,991.67,-248.00,-99.42,0.00,,
2017-02-02 00:00:00,02-Feb-2017,6.50,25711.67,27822.00,23591.00,2540.58,4781.00,0.00,11503.00,0.00,1510.33,996.75,0.00,806.17,288.75,286.08,0.00,,
2017-02-02 06:00:00,02-Feb-2017,18.50,37373.17,37996.92,34398.67,3006.00,4781.00,429.17,11503.00,0.00,12.75,996.25,0.00,929.00,97.92,205.67,0.00,,
2017-02-02 12:00:00,02-Feb-2017,30.50,40247.75,40989.75,37021.67,3282.17,4781.00,522.00,11503.00,0.00,4.50,994.83,0.00,999.58,-118.67,175.92,0.00,,
2017-02-02 18:00:00,02-Feb-2017,42.50,36168.67,37084.92,33417.92,3232.67,4781.00,0.00,11503.00,0.00,76.92,996.42,0.00,986.08,-174.33,83.17,0.00,,
